DateOfManufacturing,Dept,fueltype,manufacturer,Recommended Service,VehicleID,Vehicle Type
"2011","Public Transport","Diesel","Alsa","12565","BUS457","Bus"
"2011","Public Transport","Diesel","Damas","13745","BUS141","Bus"
"2011","Public Transport","Diesel","Damas","12211","BUS552","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS345","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS511","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS260","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS428","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS455","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS022","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS599","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS617","Mini Bus"
"2011","EMS","Diesel","Mercedez-Benz","10400","AMB032","Ambulance"
"2011","Public Transport","Diesel","Alsa","12554","BUS460","Bus"
"2011","Public Transport","Diesel","Damas","13734","BUS144","Bus"
"2011","Public Transport","Diesel","Damas","12203","BUS554","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS352","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS537","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS300","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS439","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS474","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS062","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS603","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS645","Mini Bus"
"2011","EMS","Diesel","Mercedez-Benz","10000","AMB034","Ambulance"
"2011","Public Transport","Diesel","Alsa","12550","BUS461","Bus"
"2011","Public Transport","Diesel","Damas","13722","BUS147","Bus"
"2011","Public Transport","Diesel","Damas","12200","BUS555","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS370","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS541","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS340","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS457","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS485","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS102","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS629","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS647","Mini Bus"
"2011","EMS","Petrol","SEAT","8400","SUV002","SUV"
"2011","Public Transport","Diesel","Alsa","12539","BUS464","Bus"
"2011","Public Transport","Diesel","Damas","13715","BUS149","Bus"
"2011","Public Transport","Diesel","Damas","12188","BUS558","Bus"
"2013","Public Transport","Electricity","Irizar","15450","EBUS376","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS567","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS380","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS458","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS504","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS142","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS633","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS675","Mini Bus"
"2011","EMS","Petrol","SEAT","7920","SUV021","SUV"
"2011","Public Transport","Diesel","Alsa","12532","BUS466","Bus"
"2011","Public Transport","Diesel","Damas","13689","BUS156","Bus"
"2011","Public Transport","Diesel","Damas","12185","BUS559","Bus"
"2013","Public Transport","Electricity","Irizar","14850","EBUS385","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS571","Mini Bus"
"2016","Public Transport","Electricity","Irizar","14400","EBUS420","Electric Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS469","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS515","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS182","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS659","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS677","Mini Bus"
"2011","Police","Petrol","Citroen","5200","POL012","Police Car"
"2011","Public Transport","Diesel","Alsa","12528","BUS467","Bus"
"2011","Public Transport","Diesel","Damas","13655","BUS165","Bus"
"2011","Public Transport","Diesel","Damas","12170","BUS563","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS392","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS597","Mini Bus"
"2017","EMS","Diesel","Daimler","10300","AMB026","Ambulance"
"2020","Public Transport","Diesel","Ayats","7425","MBUS487","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS534","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS222","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS663","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS705","Mini Bus"
"2011","Police","Petrol","Citroen","4950","POL026","Police Car"
"2011","Public Transport","Diesel","Alsa","12517","BUS470","Bus"
"2011","Public Transport","Diesel","Damas","13651","BUS166","Bus"
"2011","Public Transport","Diesel","Damas","12166","BUS564","Bus"
"2013","Public Transport","Electricity","Irizar","15750","EBUS410","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS601","Mini Bus"
"2017","EMS","Diesel","Daimler","10300","AMB031","Ambulance"
"2020","Public Transport","Diesel","Ayats","7800","MBUS488","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS545","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS262","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS689","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS707","Mini Bus"
"2011","Police","Petrol","Ford","5250","POL006","Police Car"
"2011","Public Transport","Diesel","Alsa","12491","BUS477","Bus"
"2011","Public Transport","Diesel","Damas","13648","BUS167","Bus"
"2012","EMS","Diesel","Daimler","9600","AMB057","Ambulance"
"2013","Public Transport","Electricity","Irizar","15450","EBUS416","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS627","Mini Bus"
"2017","EMS","Diesel","Lafuncar","9700","AMB023","Ambulance"
"2020","Public Transport","Diesel","Ayats","7425","MBUS499","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS564","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS302","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS693","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7125","MBUS735","Mini Bus"
"2011","Police","Petrol","Ford","5200","POL022","Police Car"
"2011","Public Transport","Diesel","Alsa","12479","BUS480","Bus"
"2011","Public Transport","Diesel","Damas","13644","BUS168","Bus"
"2012","EMS","Diesel","Mercedez-Benz","10000","AMB001","Ambulance"
"2013","Public Transport","Electricity","Irizar","14850","EBUS425","Electric Bus"
"2015","Public Transport","Diesel","Indcar","7650","MBUS631","Mini Bus"
"2017","EMS","Diesel","Mercedez-Benz","9600","AMB008","Ambulance"
"2020","Public Transport","Diesel","Ayats","7425","MBUS517","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS575","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS342","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7650","MBUS719","Mini Bus"
"2008","Public Transport","Diesel","Ayats","7425","MBUS737","Mini Bus"
"2011","Police","Petrol","Ford","5150","POL030","Police Car"
"2011","Public Transport","Diesel","Alsa","12472","BUS482","Bus"
"2011","Public Transport","Diesel","Damas","13640","BUS169","Bus"
"2012","EMS","Diesel","Mercedez-Benz","10300","AMB051","Ambulance"
"2014","EMS","Diesel","Daimler","10100","AMB037","Ambulance"
"2015","Public Transport","Diesel","Indcar","7650","MBUS657","Mini Bus"
"2017","EMS","Diesel","Mercedez-Benz","10400","AMB052","Ambulance"
"2020","Public Transport","Diesel","Ayats","7800","MBUS518","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS594","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS382","Electric Bus"
"2005","Public Transport","Diesel","Indcar","7500","MBUS723","Mini Bus"
"2008","Public Transport","Diesel","Damas","14560","BUS077","Bus"
"2011","Public Transport","Diesel","Alsa","13890","BUS102","Bus"
"2011","Public Transport","Diesel","Alsa","12468","BUS483","Bus"
"2011","Public Transport","Diesel","Damas","13637","BUS170","Bus"
"2012","EMS","Diesel","Mercedez-Benz","10100","AMB060","Ambulance"
"2014","EMS","Diesel","Lafuncar","10000","AMB036","Ambulance"
"2015","Public Transport","Diesel","Indcar","7650","MBUS661","Mini Bus"
"2017","Fire","Diesel","MORITA","11760","FRT004","Fire Truck"
"2020","Public Transport","Diesel","Ayats","7425","MBUS529","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS605","Mini Bus"
"2003","Public Transport","Electricity","Irizar","15300","EBUS422","Electric Bus"
"2005","Public Transport","Electricity","Irizar","14400","EBUS008","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS019","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13879","BUS105","Bus"
"2011","Public Transport","Diesel","Alsa","12457","BUS486","Bus"
"2011","Public Transport","Diesel","Damas","13618","BUS175","Bus"
"2012","Public Transport","Diesel","Alsa","13300","BUS037","Bus"
"2014","EMS","Petrol","SEAT","8080","SUV008","SUV"
"2015","Public Transport","Diesel","Indcar","7650","MBUS687","Mini Bus"
"2017","Fire","Diesel","Rosenbauer","12000","FRT001","Fire Truck"
"2020","Public Transport","Diesel","Ayats","7425","MBUS547","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS624","Mini Bus"
"2004","EMS","Diesel","Daimler","10000","AMB041","Ambulance"
"2005","Public Transport","Electricity","Irizar","14550","EBUS028","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS059","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13872","BUS107","Bus"
"2011","Public Transport","Diesel","Alsa","12453","BUS487","Bus"
"2011","Public Transport","Diesel","Damas","13614","BUS176","Bus"
"2012","Public Transport","Diesel","Alsa","13580","BUS056","Bus"
"2014","EMS","Petrol","SEAT","8320","SUV010","SUV"
"2015","Public Transport","Diesel","Indcar","7650","MBUS691","Mini Bus"
"2017","Police","Petrol","Ford","5100","POL002","Police Car"
"2020","Public Transport","Diesel","Ayats","7800","MBUS548","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS635","Mini Bus"
"2004","EMS","Diesel","Lafuncar","9700","AMB027","Ambulance"
"2005","Public Transport","Electricity","Irizar","14400","EBUS048","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS099","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13868","BUS108","Bus"
"2011","Public Transport","Diesel","Alsa","12446","BUS489","Bus"
"2011","Public Transport","Diesel","Damas","13610","BUS177","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS382","Mini Bus"
"2014","Police","Petrol","Ford","5100","POL016","Police Car"
"2015","Public Transport","Diesel","Indcar","7650","MBUS717","Mini Bus"
"2017","Police","Petrol","Ford","5050","POL032","Police Car"
"2020","Public Transport","Diesel","Ayats","7425","MBUS559","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS654","Mini Bus"
"2004","EMS","Diesel","Lafuncar","9900","AMB044","Ambulance"
"2005","Public Transport","Electricity","Irizar","14550","EBUS068","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS139","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13857","BUS111","Bus"
"2011","Public Transport","Diesel","Alsa","12442","BUS490","Bus"
"2011","Public Transport","Diesel","Damas","13603","BUS179","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS412","Mini Bus"
"2014","Police","Petrol","Ford","4950","POL038","Police Car"
"2015","Public Transport","Diesel","Indcar","7650","MBUS721","Mini Bus"
"2017","Public Transport","Diesel","Alsa","14420","BUS015","Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS577","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS665","Mini Bus"
"2004","EMS","Diesel","Lafuncar","10100","AMB049","Ambulance"
"2005","Public Transport","Electricity","Irizar","14400","EBUS088","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS179","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13853","BUS112","Bus"
"2011","Public Transport","Diesel","Alsa","12431","BUS493","Bus"
"2011","Public Transport","Diesel","Damas","13599","BUS180","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS442","Mini Bus"
"2014","Public Transport","Diesel","Alsa","14560","BUS057","Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS007","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS006","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS578","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS684","Mini Bus"
"2004","EMS","Diesel","Mercedez-Benz","10300","AMB059","Ambulance"
"2005","Public Transport","Electricity","Irizar","14550","EBUS108","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS219","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13846","BUS114","Bus"
"2011","Public Transport","Diesel","Alsa","12420","BUS496","Bus"
"2011","Public Transport","Diesel","Damas","13588","BUS183","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS472","Mini Bus"
"2014","Public Transport","Diesel","Alsa","14560","BUS062","Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS009","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS009","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS589","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS695","Mini Bus"
"2004","EMS","Petrol","BMW","8000","SUV025","SUV"
"2005","Public Transport","Electricity","Irizar","14400","EBUS128","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS259","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13842","BUS115","Bus"
"2011","Public Transport","Diesel","Alsa","12397","BUS502","Bus"
"2011","Public Transport","Diesel","Damas","13584","BUS184","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS502","Mini Bus"
"2014","Public Transport","Diesel","Alsa","14560","BUS067","Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS012","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS036","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS607","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7500","MBUS714","Mini Bus"
"2004","Fire","Diesel","MORITA","11400","FRT019","Fire Truck"
"2005","Public Transport","Electricity","Irizar","14550","EBUS148","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS299","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13831","BUS118","Bus"
"2011","Public Transport","Diesel","Alsa","12386","BUS505","Bus"
"2011","Public Transport","Diesel","Damas","13569","BUS188","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS532","Mini Bus"
"2014","Public Transport","Diesel","Alsa","13720","BUS089","Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS047","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS039","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS608","Mini Bus"
"2002","Public Transport","Diesel","Ayats","7575","MBUS725","Mini Bus"
"2004","Fire","Diesel","Rosenbauer","12120","FRT012","Fire Truck"
"2005","Public Transport","Electricity","Irizar","14400","EBUS168","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS339","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13819","BUS121","Bus"
"2011","Public Transport","Diesel","Alsa","12379","BUS507","Bus"
"2011","Public Transport","Diesel","Damas","13566","BUS189","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS562","Mini Bus"
"2014","Public Transport","Diesel","Avanza","14700","BUS020","Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS049","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS066","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS619","Mini Bus"
"2002","Public Transport","Diesel","Damas","14420","BUS024","Bus"
"2004","Police","Petrol","Citroen","4900","POL001","Police Car"
"2005","Public Transport","Electricity","Irizar","14550","EBUS188","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS379","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13797","BUS127","Bus"
"2011","Public Transport","Diesel","Alsa","12375","BUS508","Bus"
"2011","Public Transport","Diesel","Damas","13551","BUS193","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS592","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS378","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS052","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS069","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS637","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS024","Mini Bus"
"2004","Police","Petrol","Citroen","4750","POL036","Police Car"
"2005","Public Transport","Electricity","Irizar","14400","EBUS208","Electric Bus"
"2008","Public Transport","Electricity","Irizar","14250","EBUS419","Electric Bus"
"2011","Public Transport","Diesel","Alsa","13786","BUS130","Bus"
"2011","Public Transport","Diesel","Alsa","12364","BUS511","Bus"
"2011","Public Transport","Diesel","Damas","13543","BUS195","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS622","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS381","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS087","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS096","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS638","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS054","Mini Bus"
"2004","Public Transport","Diesel","Alsa","13580","BUS069","Bus"
"2005","Public Transport","Electricity","Irizar","14550","EBUS228","Electric Bus"
"2009","EMS","Diesel","Daimler","10300","AMB012","Ambulance"
"2011","Public Transport","Diesel","Alsa","13778","BUS132","Bus"
"2011","Public Transport","Diesel","Alsa","12360","BUS512","Bus"
"2011","Public Transport","Diesel","Damas","13540","BUS196","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS652","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS408","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS089","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS099","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS649","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS084","Mini Bus"
"2004","Public Transport","Diesel","Avanza","13720","BUS072","Bus"
"2005","Public Transport","Electricity","Irizar","14400","EBUS248","Electric Bus"
"2009","EMS","Diesel","Daimler","10100","AMB046","Ambulance"
"2011","Public Transport","Diesel","Alsa","13775","BUS133","Bus"
"2011","Public Transport","Diesel","Alsa","12353","BUS514","Bus"
"2011","Public Transport","Diesel","Damas","13517","BUS202","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS682","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS411","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS092","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS126","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS667","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS114","Mini Bus"
"2004","Public Transport","Diesel","Damas","14700","BUS004","Bus"
"2005","Public Transport","Electricity","Irizar","14550","EBUS268","Electric Bus"
"2009","EMS","Diesel","Mercedez-Benz","9500","AMB022","Ambulance"
"2011","Public Transport","Diesel","Alsa","13763","BUS136","Bus"
"2011","Public Transport","Diesel","Alsa","12349","BUS515","Bus"
"2011","Public Transport","Diesel","Damas","13513","BUS203","Bus"
"2012","Public Transport","Diesel","Ayats","7575","MBUS712","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS438","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS127","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS129","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS668","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS144","Mini Bus"
"2004","Public Transport","Diesel","Damas","14420","BUS051","Bus"
"2005","Public Transport","Electricity","Irizar","14400","EBUS288","Electric Bus"
"2009","EMS","Petrol","BMW","7840","SUV030","SUV"
"2011","Public Transport","Diesel","Alsa","13760","BUS137","Bus"
"2011","Public Transport","Diesel","Alsa","12338","BUS518","Bus"
"2011","Public Transport","Diesel","Damas","13510","BUS204","Bus"
"2012","Public Transport","Diesel","Damas","13860","BUS063","Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS441","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS129","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS156","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS679","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS174","Mini Bus"
"2004","Public Transport","Diesel","Damas","13440","BUS070","Bus"
"2005","Public Transport","Electricity","Irizar","14550","EBUS308","Electric Bus"
"2009","Fire","Diesel","MORITA","12600","FRT010","Fire Truck"
"2011","Public Transport","Diesel","Alsa","13752","BUS139","Bus"
"2011","Public Transport","Diesel","Alsa","12326","BUS521","Bus"
"2011","Public Transport","Diesel","Damas","13495","BUS208","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS011","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS468","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS132","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS159","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS697","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS204","Mini Bus"
"2004","Public Transport","Diesel","Damas","14420","BUS098","Bus"
"2005","Public Transport","Electricity","Irizar","14400","EBUS328","Electric Bus"
"2009","Fire","Diesel","MORITA","12360","FRT020","Fire Truck"
"2011","Public Transport","Diesel","Alsa","13749","BUS140","Bus"
"2011","Public Transport","Diesel","Alsa","12304","BUS527","Bus"
"2011","Public Transport","Diesel","Damas","13491","BUS209","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS022","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS471","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS167","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS186","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS698","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS234","Mini Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS001","Electric Bus"
"2005","Public Transport","Electricity","Irizar","14550","EBUS348","Electric Bus"
"2009","Police","Petrol","Ford","4850","POL011","Police Car"
"2011","Public Transport","Diesel","Alsa","13737","BUS143","Bus"
"2011","Public Transport","Diesel","Alsa","12300","BUS528","Bus"
"2011","Public Transport","Diesel","Damas","13480","BUS212","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS030","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS498","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS169","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS189","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS709","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS264","Mini Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS002","Electric Bus"
"2005","Public Transport","Electricity","Irizar","14400","EBUS368","Electric Bus"
"2009","Public Transport","Diesel","Alsa","14280","BUS038","Bus"
"2011","Public Transport","Diesel","Alsa","13726","BUS146","Bus"
"2011","Public Transport","Diesel","Alsa","12297","BUS529","Bus"
"2011","Public Transport","Diesel","Damas","13469","BUS215","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS041","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS501","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS172","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS216","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS727","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS294","Mini Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS041","Electric Bus"
"2005","Public Transport","Electricity","Irizar","14550","EBUS388","Electric Bus"
"2009","Public Transport","Diesel","Avanza","13720","BUS100","Bus"
"2011","Public Transport","Diesel","Alsa","13704","BUS152","Bus"
"2011","Public Transport","Diesel","Alsa","12293","BUS530","Bus"
"2011","Public Transport","Diesel","Damas","13457","BUS218","Bus"
"2012","Public Transport","Diesel","Indcar","7575","MBUS052","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS528","Mini Bus"
"2015","Public Transport","Electricity","Irizar","14700","EBUS207","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS219","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7800","MBUS728","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS324","Mini Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS042","Electric Bus"
"2005","Public Transport","Electricity","Irizar","14400","EBUS408","Electric Bus"
"2009","Public Transport","Diesel","Damas","14700","BUS010","Bus"
"2011","Public Transport","Diesel","Alsa","13700","BUS153","Bus"
"2011","Public Transport","Diesel","Alsa","12282","BUS533","Bus"
"2011","Public Transport","Diesel","Damas","13454","BUS219","Bus"
"2012","Public Transport","Diesel","Indcar","7650","MBUS060","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7200","MBUS531","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15150","EBUS209","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7575","MBUS246","Mini Bus"
"2020","Public Transport","Diesel","Ayats","7425","MBUS739","Mini Bus"
"2002","Public Transport","Diesel","Indcar","7500","MBUS354","Mini Bus"
"2004","Public Transport","Electricity","Irizar","14850","EBUS081","Electric Bus"
"2006","EMS","Diesel","Daimler","10000","AMB042","Ambulance"
"2009","Public Transport","Diesel","Damas","14280","BUS022","Bus"
"2011","Public Transport","Diesel","Alsa","13696","BUS154","Bus"
"2011","Public Transport","Diesel","Alsa","12278","BUS534","Bus"
"2011","Public Transport","Diesel","Damas","13446","BUS221","Bus"
"2012","Public Transport","Diesel","Indcar","7125","MBUS071","Mini Bus"
"2014","Public Transport","Diesel","Ayats","7425","MBUS558","Mini Bus"
"2015","Public Transport","Electricity","Irizar","15300","EBUS212","Electric Bus"
"2017","Public Transport","Diesel","Ayats","7350","MBUS249","Mini Bus"
"2020","Public Transport","Diesel","Damas","14140","BUS052","Bus"
"2002","Public Transport","Electricity","Irizar","14400","EBUS018","Electric Bus"
"2004","Public Transport","Electricity","Irizar","15600","EBUS082","Electric Bus"
"2006","EMS","Diesel","Lafuncar","10200","AMB048","Ambulance"
"2009","Public Transport","Diesel","Damas","14560","BUS079","Bus"
"2011","Public Transport","Diesel","Alsa","13693","BUS155","Bus"
